accel,Walk,Stand,Run,Descend Stairs
0.016377979,0,1,0,0
0.019721689,0,1,0,0
0.010332411,0,1,0,0
0.020413967,0,1,0,0
0.017615776,0,1,0,0
0.011737744,0,1,0,0
0.009213358,0,1,0,0
0.008648488,0,1,0,0
0.024598523,0,1,0,0
0.012540171,0,1,0,0
0.004946682,0,1,0,0
0.020616232,0,1,0,0
0.008273107,0,1,0,0
0.021662785,0,1,0,0
0.025299987,0,1,0,0
0.014582414,0,1,0,0
0.019417914,0,1,0,0
0.010099824,0,1,0,0
0.019383179,0,1,0,0
0.011800156,0,1,0,0
0.016344481,0,1,0,0
0.004274362,0,1,0,0
0.013648781,0,1,0,0
0.025720242,0,1,0,0
0.023637255,0,1,0,0
0.004661157,0,1,0,0
0.012894462,0,1,0,0
0.023165542,0,1,0,0
0.008983079,0,1,0,0
0.024319186,0,1,0,0
0.017842792,0,1,0,0
0.014843149,0,1,0,0
0.007957953,0,1,0,0
0.010768713,0,1,0,0
0.008997779,0,1,0,0
0.023007999,0,1,0,0
