idx,country,users,purpose,detailed_purpose,period,mass,site,contractor,min_lifetime,max_lifetime,date
582,India,Government,Communications,,1436.1,3181.0,Guiana Space Center,Indian Space Research Organization (ISRO),15.0,15.0,2014-12-06
583,India,Government,Communications,,1436.1,3404.0,Guiana Space Center,Indian Space Research Organization (ISRO),15.0,15.0,2016-10-05
584,India,Government,Communications/Technology Development,,1436.07,1825.0,Satish Dhawan Space Center,Indian Space Research Organization (ISRO),3.0,5.0,2003-05-08
585,India,Government/Commercial,Communications,,1436.1,2110.0,Satish Dhawan Space Center,Indian Space Research Organization (ISRO),9.0,12.0,2015-08-27
586,India,Military,Communications,,1436,2650.0,Guiana Space Center,Indian Space Research Organization (ISRO),7.0,7.0,2013-08-29
587,India,Government,Communications/Navigation,,1436.23,3093.0,Guiana Space Center,Indian Space Research Organization (ISRO),12.0,12.0,2011-05-20
588,United States,Military,Space Observation,Imaging,1434.9,,Cape Canaveral,Orbital Sciences Corp.,,,2014-07-28
589,United States,Military,Space Observation,Imaging,1435.6,,Cape Canaveral,Orbital Sciences Corp.,,,2014-07-28
590,United States,Military,Space Observation,Imaging,1436.02,,Cape Canaveral,Orbital ATK,,,2016-08-19
591,United States,Military,Space Observation,Imaging,1438.54,,Cape Canaveral,Orbital ATK,,,2016-08-19
592,China,Government,Earth Observation,Meteorology,104.4,1500.0,Taiyuan Launch Center,China Academy of Space Technology (CAST),3.0,3.0,2011-08-15
593,France/Italy/Belgium/Spain/Greece,Military,Earth Observation,Optical Imaging,98,4200.0,Guiana Space Center,EADS Astrium,5.0,5.0,2004-12-18
594,France/Italy/Belgium/Spain/Greece,Military,Earth Observation,Optical Imaging,98.37,4200.0,Guiana Space Center,EADS Astrium,5.0,5.0,2009-12-18
595,Greece,Commercial,Communications,,1436.08,3300.0,Cape Canaveral,Astrium,15.0,15.0,2003-05-12
596,United States,Government/Civil,Space Science,,95.5,293.0,Cape Canaveral,"Spectrum Astro, Inc.",3.0,3.0,2002-02-05
597,Japan,Government,Earth Observation,Meteorology,1436.06,3500.0,Tanegashima Space Center,Mitsubishi Electric,8.0,8.0,2014-10-07
598,Japan,Government,Earth Observation,Meteorology,1436.1,3500.0,Tanegashima Space Center,Mitsubishi Electric,8.0,8.0,2016-11-02
599,Multinational,Government,Space Science,,98.4,700.0,Uchinoura Space Center,"Institute of Space and Aeronautical Science, University of Tokyo/NASA",3.0,3.0,2006-10-22
600,Japan,Government,Space Science,,106.27,348.0,Uchinoura Space Center,NEC Corporation,1.0,1.0,2013-09-14
601,Spain,Commercial/Gov/Mil,Communications,,1436.08,3112.0,Cape Canaveral,Alcatel Space Industries,15.0,15.0,2000-02-04
602,Spain,Commercial/Gov/Mil,Communications,,1436.11,3288.0,Cape Canaveral,Aerospatiale (Alcatel Space Industries),15.0,15.0,2002-09-18
603,Spain,Commercial,Communications,,1435.95,5320.0,Guiana Space Center,Space Systems/Loral,15.0,15.0,2010-12-29
604,China,Government,Earth Observation,Optical Imaging,97.7,470.0,Taiyuan Launch Center,Chinese Academy of Space Technology (CAST)/DFH Satellite,3.0,3.0,2008-09-05
605,China,Government,Earth Observation,Optical Imaging,97.7,470.0,Taiyuan Launch Center,Chinese Academy of Space Technology (CAST)/DFH Satellite,3.0,3.0,2008-09-05
606,China,Government,Earth Observation,Radar Imaging,94.53,890.0,Taiyuan Launch Center,Chinese Academy of Space Technology (CAST)/DFH Satellite,3.0,3.0,2012-11-18
607,Japan,Government,Earth Observation,Optical Imaging,94.93,65.0,Dombarovsky Air Base,University of Tokyo,,,2014-11-06
608,Japan,Government,Technology Development,,97.51,60.0,Dombarovsky Air Base,University of Tokyo,,,2014-06-19
609,Japan,Government,Technology Development,,97.35,60.0,Dombarovsky Air Base,University of Tokyo,,,2014-06-19
610,USA/Japan,Commercial,Communications,,1436.1,2300.0,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2007-12-21
611,Japan,Civil,Technology Development,,97.9,7.0,Tanegashima Space Center,Kyushu Institute of Technology (KIT),1.0,1.0,2012-05-17
612,Japan,Civil,Technology Development,,96,10.0,Tanegashima Space Center,Kyushu Institute of Technology (KIT),1.0,1.0,2016-02-17
613,ESA/USA,Government,Space Science,,95.8,11110.0,Cape Canaveral,European Space Agency/NASA,10.0,10.0,1990-04-25
614,Spain,Civil,Technology Development,,96.9,1.0,Dombarovsky Air Base,University of Vigo,,,2013-11-21
615,United Kingdom,Commercial,Communications,,1436.07,2242.0,Guiana Space Center,EADS Astrium,15.0,15.0,2010-11-26
616,United Kingdom,Commercial,Communications,,1436.14,3311.0,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2012-08-02
