date,country,users,purpose,detailed_purpose,period,mass,launch,lifetime,site,contractor,min_lifetime,max_lifetime,date
2011-07-26,China,Military/Government,Navigation/Global Positioning,,1435.1,"4,200",7/26/11,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2011-07-26
2011-12-01,China,Military/Government,Navigation/Global Positioning,,1436.08,"4,200",12/1/11,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2011-12-01
2016-03-30,China,Military/Government,Navigation/Global Positioning,,1435.92,"4,200",3/30/16,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2016-03-30
2007-04-14,China,Military/Government,Navigation/Global Positioning,,773.39,"2,200",4/14/07,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2007-04-14
2005-10-27,China,Civil,Earth Observation,Optical Imaging,98.6,166,10/27/05,7 yrs.,Plesetsk Cosmodrome,Tsinghua University/University of Surrey,7.0,7.0,2005-10-27
2016-01-15,Belarus,Government,Communications,,1436.06,"5,223",1/15/16,15 yrs.,Xichang Satellite Launch Center,Chinese Academy of Space Technology/Thales Alenia Space,15.0,15.0,2016-01-15
2000-07-14,USA,Commercial,Communications,,1436.12,"3,700",7/14/00,12 yrs.,Cape Canaveral,Space Systems/Loral,12.0,12.0,2000-07-14
2001-10-22,Germany,Government/Civil,Earth Observation/Technology Development,Optical Imaging,94.8,92,10/22/01,1.5 yrs.,Satish Dhawan Space Centre,Deutsches Zentrum fur Luft- und Raumfahrt,1.5,1.5,2001-10-22
2016-06-22,Germany,Government,Earth Observation,Optical Imaging,94.7,130,6/22/16,,Satish Dhawan Space Centre,German Aerospace Center (DLR),,,2016-06-22
2015-10-08,USA,Civil,Earth Observation/Technology Development,Optical Imaging,97.7,1,10/8/15,,Cape Canaveral,Salish Kootenai College,,,2015-10-08
2012-07-22,Belarus,Government,Earth Observation,Optical Imaging,94.7,400,7/22/12,5 yrs.,Baikonur Cosmodrome,NPO VNIIEM,5.0,5.0,2012-07-22
2016-09-26,USA,Commercial,Earth Observation,Optical Imaging,98.3,44,9/26/16,3 yrs.,Satish Dhawan Space Centre,Spaceflight Industries,3.0,3.0,2016-09-26
1995-03-28,Brazil,Military/Commercial,Communications,,1436.11,"1,780",3/28/95,12 yrs.,Guiana Space Center,Boeing Satellite Systems,12.0,12.0,1995-03-28
1998-02-04,Brazil,Commercial,Communications,,1436.07,"1,780",2/4/98,12 yrs.,Guiana Space Center,Boeing Satellite Systems,12.0,12.0,1998-02-04
2000-08-17,Brazil,Commercial,Communications,,1436.09,"2,495",8/17/00,12 yrs.,Guiana Space Center,Boeing Satellite Systems,12.0,12.0,2000-08-17
